emotion_quadrant,music_name,SVM,Random Forest,Neural Network,SVM (Q1),SVM (Q2),SVM (Q3),SVM (Q4),Random Forest (Q1),Random Forest (Q2),Random Forest (Q3),Random Forest (Q4),Neural Network (Q1),Neural Network (Q2),Neural Network (Q3),Neural Network (Q4),Fold,total_midi_events,duration,num_unique_tracks,num_unique_channels,avg_note_pitch,std_note_pitch,min_note_pitch,max_note_pitch,pitch_range,avg_note_velocity,std_note_velocity,num_note_on_events,num_note_off_events,num_set_tempo_events
Q2,Q2_z5ewpQwGDNw_0,Q1,Q1,Q1,0.47421,0.466336,0.0273185,0.0321353,0.4575,0.3325,0,0.21,0.631205,0.294609,0.0330549,0.0411304,1,376,27.082,2,1,58.0349,10.2163,28,76,48,40.125,40.7466,344,0,1
Q2,Q2_ivCNV47tsRw_3,Q1,Q1,Q1,0.519195,0.406749,0.0434362,0.0306197,0.665,0.295,0.04,0,0.768073,0.218008,0.00993845,0.00398064,1,830,39.9922,2,1,66.1502,11.1497,29,103,74,38.9163,39.4989,812,0,1
Q2,Q2_5NW0zDu6IYM_0,Q1,Q1,Q1,0.52791,0.42615,0.0216733,0.0242671,0.766667,0.175,0.0583333,0,0.765761,0.198748,0.0180554,0.0174356,1,622,39.9922,2,1,65.1856,10.6785,34,87,53,38.5601,39.6698,582,0,1
Q2,Q2_S7Bo4-NCEDk_2,Q1,Q1,Q1,0.362854,0.157248,0.274697,0.205201,0.433333,0.05,0.216667,0.3,0.491389,0.221999,0.140002,0.14661,1,486,29.9219,2,1,72.9351,14.2847,44,95,51,31.8745,33.485,462,0,1
Q4,Q4_JP3QKZlyQz4_2,Q4,Q3,Q3,0.0200319,0.067827,0.336601,0.57554,0,0.19,0.635714,0.174286,0.00198179,0.0474493,0.630481,0.320088,1,228,39.9922,2,1,53,9.16633,36,72,36,25.6935,26.9215,186,0,1
Q4,Q4_BaHHHgDd0BU_1,Q4,Q4,Q4,0.00721615,0.0149496,0.379026,0.598809,0.025,0.0333333,0.425,0.516667,0.000155069,0.00404917,0.428885,0.566911,1,642,57.3919,2,1,56.0207,11.343,32,82,50,18.5069,20.7999,580,0,1
Q2,Q2_ivCNV47tsRw_1,Q2,Q1,Q2,0.415862,0.576689,0.00417625,0.00327283,0.833333,0.133333,0.0333333,0,0.456841,0.536696,0.00418875,0.00227488,1,856,39.4219,2,1,61.0465,12.7528,25,85,60,37.9254,38.6548,818,0,1
Q1,Q1_9v2WSpn4FCw_6,Q2,Q1,Q2,0.370203,0.569756,0.0292308,0.0308107,0.65,0.3,0,0.05,0.205397,0.688708,0.0932873,0.0126078,1,458,37.0924,2,1,52.8398,11.1302,24,81,57,40.568,41.4398,412,0,1
Q2,Q2_P-We4q3goKU_5,Q2,Q2,Q2,0.41236,0.577205,0.00636246,0.00407281,0.441667,0.558333,0,0,0.311536,0.684394,0.00342301,0.000646616,1,868,36.7826,2,1,60.2722,15.0394,24,91,67,37.5903,37.9656,742,0,1
Q1,Q1_IH2KrGjKXw0_3,Q2,Q3,Q3,0.149571,0.410688,0.310565,0.129176,0.02,0.166667,0.58,0.233333,0.135878,0.27606,0.378682,0.20938,1,1078,55.112,2,1,57.8946,12.0038,37,80,43,29.0497,30.7254,1006,0,1
Q4,Q4_g15aRCHUJEI_0,Q4,Q4,Q4,0.0145704,0.03093,0.257444,0.697056,0,0,0.3,0.7,0.0074601,0.0205878,0.303649,0.668304,1,316,38.1719,2,1,56.5887,7.25839,44,75,31,25.9433,27.7818,282,0,1
Q3,Q3_wfXSdMsd4q8_1,Q1,Q3,Q3,0.393941,0.152065,0.252199,0.201795,0.24,0.19,0.47,0.1,0.318038,0.0911887,0.431459,0.159314,1,370,37.2917,2,1,66.72,7.95903,50,88,38,37.29,39.1545,300,0,1
Q4,Q4_ldCQ6N9G6Mk_0,Q3,Q3,Q3,0.0837569,0.0898282,0.568707,0.257708,0.1,0.0914286,0.688571,0.12,0.000100973,0.00175393,0.995263,0.00288187,1,132,39.2122,2,1,82.9643,9.37308,65,99,34,35.7589,38.9211,112,0,1
Q4,Q4_3As1t6JySDE_0,Q4,Q4,Q4,0.00670989,0.00832996,0.17683,0.80813,0,0,0.02,0.98,0.00399719,0.00604352,0.294961,0.694999,1,518,39.9922,2,1,59.1274,9.85559,33,83,50,22.1321,24.726,424,0,1
Q4,Q4_9eMxCs-LXCE_1,Q4,Q4,Q4,0.0320591,0.0180225,0.143432,0.806486,0.025,0,0.125,0.85,0.0705763,0.00910558,0.0903652,0.829953,1,290,29.9922,2,1,62.1905,9.84154,41,84,43,28.246,30.0803,252,0,1
Q2,Q2_rEz0D3VohFA_2,Q2,Q2,Q2,0.379212,0.57412,0.023563,0.0231051,0.12,0.88,0,0,0.136273,0.863386,0.000332186,8.48889e-06,1,1196,49.5026,2,1,57.7283,20.0188,24,97,73,42.1562,43.0923,1082,0,1
Q4,Q4_JP3QKZlyQz4_1,Q4,Q4,Q3,0.0118005,0.0544702,0.269756,0.663973,0,0,0.403333,0.596667,0.000329551,0.0488914,0.532318,0.418461,1,276,49.9922,2,1,56.9273,9.78556,41,76,35,27.5136,28.704,220,0,1
Q1,Q1_dfNdpy8TUzA_1,Q1,Q1,Q1,0.571451,0.378864,0.0185917,0.0310934,0.575,0.325,0,0.1,0.779434,0.14382,0.0180979,0.058648,1,392,26.9115,2,1,61.9563,11.2246,33,85,52,39.306,39.9118,366,0,1
Q3,Q3_OO7zYVeK814_1,Q4,Q4,Q4,0.014132,0.0165185,0.130053,0.839297,0.02,0.1,0.313333,0.566667,0.0234374,0.0217059,0.169048,0.785809,1,442,39.9922,2,1,59.7727,9.79706,33,85,52,26.9915,28.5012,352,0,1
Q3,Q3_bbU31JLtlug_0,Q4,Q4,Q4,0.0297871,0.0288456,0.262637,0.67873,0.0833333,0.133333,0.279167,0.504167,0.0703152,0.0234828,0.368163,0.538039,1,698,39.9922,2,1,68.1863,10.189,42,91,49,26.4099,27.4986,644,0,1
Q1,Q1_Fc1qk52SaKY_1,Q1,Q2,Q1,0.500693,0.456844,0.0272706,0.0151929,0.425,0.495,0.08,0,0.507127,0.448773,0.0375892,0.00651145,1,700,39.8125,2,1,58.7156,15.1337,27,85,58,34.4391,35.3821,640,0,1
Q3,Q3_gvWDOIiocuE_2,Q3,Q3,Q3,0.102925,0.0922771,0.595015,0.209783,0,0.025,0.78,0.195,0.00229814,0.0321192,0.954221,0.0113619,1,306,39.5716,2,1,78.9855,7.62387,55,91,36,34.2428,35.8735,276,0,1
Q3,Q3_QJlnTN7HRwE_3,Q4,Q3,Q4,0.00538229,0.0117855,0.207663,0.775169,0,0,0.753333,0.246667,0.000891755,0.0102274,0.315263,0.673618,1,326,39.9922,2,1,58.2378,11.7548,29,89,60,22.7867,24.7023,286,0,1
Q4,Q4_B3aRl8iTEKw_1,Q4,Q4,Q4,0.00685755,0.0190261,0.186449,0.787667,0.0666667,0.0333333,0.2,0.7,0.00227237,0.0163047,0.172269,0.809154,1,644,59.9922,2,1,61.7832,10.4039,41,89,48,27.236,29.1657,572,0,1
Q1,Q1_zmZHNy9T8Pg_2,Q1,Q1,Q1,0.560843,0.414035,0.0126738,0.0124478,0.633333,0.366667,0,0,0.60674,0.374248,0.00802673,0.0109853,1,532,29.9922,2,1,63.6942,13.739,28,86,58,37.7955,38.3791,484,0,1
Q3,Q3_REq37pDAm3A_3,Q4,Q4,Q3,0.0144451,0.0268824,0.393221,0.565452,0.1,0.075,0.405,0.42,0.00960656,0.0192532,0.701982,0.269158,1,604,49.9922,2,1,69.4674,14.342,41,96,55,29.5977,30.7,522,0,1
Q1,Q1_K6OFDxBU370_1,Q1,Q1,Q1,0.544207,0.402834,0.0261159,0.026843,0.8,0.125,0.025,0.05,0.563705,0.405754,0.00888618,0.0216546,1,508,29.9922,2,1,67.2335,12.7698,30,87,57,36.5396,37.3459,454,0,1
Q4,Q4_lTxVVdhFE6Q_1,Q4,Q4,Q4,0.0122424,0.0135951,0.165612,0.80855,0,0,0.316667,0.683333,0.0122036,0.019509,0.266002,0.702286,1,466,39.9922,2,1,58.7327,10.2131,31,86,55,24.6336,26.015,434,0,1
Q2,Q2_snfsc7pEzlk_0,Q1,Q1,Q1,0.546054,0.341806,0.0436994,0.0684405,0.933333,0.0166667,0,0.05,0.750792,0.18966,0.00792809,0.0516193,1,416,19.9922,2,1,62.3485,10.3574,27,81,54,35.3535,36.0301,396,0,1
Q4,Q4_DvIH5yUrboc_1,Q4,Q4,Q4,0.0175338,0.0180951,0.266733,0.697639,0,0,0.416667,0.583333,0.00339539,0.00156004,0.152807,0.842238,1,740,39.9922,2,1,56.3775,7.96952,41,80,39,22.0268,23.127,710,0,1
Q3,Q3_wqc8iqbDsGM_0,Q4,Q3,Q3,0.014523,0.0277232,0.415546,0.542208,0.313333,0,0.62,0.0666667,0.000802796,0.00405908,0.785106,0.210032,1,406,49.0117,2,1,68.7886,13.4179,38,103,65,31.0429,32.3931,350,0,1
Q4,Q4_0c2dTJTDUR4_1,Q1,Q1,Q2,0.309587,0.357462,0.125833,0.207118,0.460476,0.410952,0.0142857,0.114286,0.0829915,0.34185,0.310484,0.264675,1,320,36.7617,2,1,58.4214,10.6962,28,83,55,36.2321,37.2268,280,0,1
Q4,Q4_r_sD61KeUQU_0,Q4,Q4,Q4,0.0034795,0.01329,0.321462,0.661769,0,0,0.225,0.775,2.59157e-06,0.000102855,0.227301,0.772593,1,468,49.9922,2,1,63.7116,6.08262,43,82,39,16.8023,18.5192,430,0,1
Q3,Q3_yZGBxiNPu3k_1,Q4,Q1,Q3,0.198191,0.0855867,0.349985,0.366237,0.433333,0.05,0.383333,0.133333,0.123348,0.178461,0.458911,0.239281,1,408,36.9023,2,1,71.7513,12.5589,43,91,48,32.9921,34.3404,378,0,1
Q1,Q1_1vjy9oMFa8c_4,Q1,Q2,Q1,0.503316,0.400721,0.0391789,0.0567841,0.203333,0.571667,0.225,0,0.737279,0.184338,0.0323513,0.0460311,1,304,19.9922,2,1,54.3769,11.8023,27,82,55,39.9423,40.6584,260,0,1
Q4,Q4_ADJ_PDauy-g_0,Q4,Q3,Q3,0.0131231,0.034993,0.388064,0.56382,0,0.1,0.525,0.375,0.000211381,0.00715854,0.667565,0.325065,1,242,39.9922,2,1,51.602,10.3753,29,72,43,20.4898,21.7431,196,0,1
Q4,Q4_I2MrA-o5H8I_0,Q4,Q4,Q4,0.0140532,0.0176706,0.372908,0.595368,0.025,0.1,0.333333,0.541667,0.000397407,0.000764824,0.298978,0.69986,1,642,39.9922,2,1,52.4527,7.68265,31,76,45,17.4274,19.0476,592,0,1
Q3,Q3_vVTP0DOL_2Q_0,Q3,Q3,Q3,0.0881648,0.0647482,0.561349,0.285738,0.08,0,0.72,0.2,0.00137706,0.0100472,0.943436,0.0451401,1,324,36.7917,2,1,78.9091,10.8531,56,93,37,29.0552,32.0257,308,0,1
Q2,Q2_l-4Kce3YxxQ_4,Q2,Q2,Q2,0.322538,0.643745,0.0197327,0.013985,0.0892857,0.610714,0,0.3,0.162661,0.829532,0.0054107,0.00239576,1,1020,36.9818,2,1,52.9229,9.42012,31,74,43,39.7885,40.7222,960,0,1
Q4,Q4_Dw7M69CidJ8_1,Q4,Q4,Q4,0.00359263,0.00800193,0.218803,0.769602,0,0,0.0833333,0.916667,0.00142134,0.00293348,0.251723,0.743922,1,490,45.6719,2,1,59.3456,9.61068,42,80,38,22.5691,24.1401,434,0,1
Q3,Q3_pbVGv_g4n50_0,Q3,Q3,Q3,0.0781499,0.0826509,0.549675,0.289525,0,0,0.95,0.05,3.53794e-05,0.000302169,0.984315,0.0153473,1,176,39.9922,2,1,78.3095,7.36715,67,96,29,29.994,31.6327,168,0,1
Q4,Q4_pkz8OkWhwnk_1,Q3,Q3,Q2,0.090388,0.233699,0.381438,0.294475,0.115,0.0142857,0.662381,0.208333,0.00880082,0.453489,0.420572,0.117139,1,414,49.9922,2,1,52.5815,7.60639,38,69,31,31.1413,31.9055,368,0,1
Q4,Q4_YhXRyOl5pi0_0,Q4,Q4,Q4,0.00650972,0.0101786,0.257044,0.726268,0,0,0.0333333,0.966667,0.00210771,0.000833199,0.215005,0.782054,1,626,39.9414,2,1,60.7617,9.68328,43,79,36,20.9567,22.8149,554,0,1
Q4,Q4_mGYKWCVnMwQ_0,Q4,Q4,Q4,0.00752413,0.0145686,0.279641,0.698266,0.025,0,0.3375,0.6375,0.000214256,0.00685306,0.394841,0.598092,1,494,49.9922,2,1,55.8227,8.37622,32,75,43,21.3374,23.1489,406,0,1
Q1,Q1_94ROf10d1iA_1,Q4,Q3,Q3,0.255269,0.0805937,0.283396,0.380741,0.266667,0.0366667,0.538333,0.158333,0.128153,0.0438148,0.518619,0.309413,1,374,39.6823,2,1,66.5096,12.2298,47,90,43,36.1242,37.0498,314,0,1
Q4,Q4_rDhbGjFlKF8_0,Q4,Q4,Q4,0.00259062,0.00789117,0.215329,0.774189,0.0166667,0,0.1,0.883333,0.000198148,0.00510735,0.259909,0.734786,1,460,49.9922,2,1,63.4826,9.34092,38,81,43,23.7313,25.1243,402,0,1
Q1,Q1_2Z9SjI131jA_8,Q1,Q1,Q1,0.386832,0.0989688,0.234745,0.279455,0.76,0.02,0.161667,0.0583333,0.507297,0.0435109,0.16017,0.289022,1,510,36.8516,2,1,67.2489,11.7092,45,94,49,34.9133,35.415,450,0,1
Q1,Q1_2Z9SjI131jA_12,Q1,Q4,Q1,0.423401,0.12721,0.125803,0.323586,0.1,0.1,0.25,0.55,0.575128,0.0683412,0.0356512,0.32088,1,580,29.9922,2,1,65.3869,10.5635,36,86,50,29.4416,30.3961,548,0,1
Q3,Q3_wS0RzrBL9UI_1,Q4,Q3,Q3,0.0030864,0.0120103,0.36488,0.620023,0.1,0,0.538095,0.361905,1.28876e-06,5.50842e-05,0.540539,0.459404,1,338,49.9922,2,1,69.5714,8.17314,49,94,45,19.1087,22.4456,322,0,1
Q2,Q2_l-4Kce3YxxQ_1,Q2,Q2,Q2,0.251837,0.72685,0.00998703,0.0113257,0.2,0.8,0,0,0.0331092,0.966506,0.00032452,6.01156e-05,1,1106,37.0221,2,1,50.7182,15.8684,24,84,60,43.498,44.0618,1022,0,1
Q4,Q4_V_jbWvQNh5c_0,Q4,Q4,Q4,0.023149,0.0658086,0.268851,0.642192,0.025,0.025,0.325,0.625,0.00563039,0.0762841,0.439701,0.478384,1,238,38.6615,2,1,59.5529,8.13278,42,73,31,28.8059,29.7873,170,0,1
Q4,Q4_Ie5koh4qvJc_1,Q4,Q3,Q4,0.00190051,0.00412475,0.231627,0.762347,0.0333333,0,0.533333,0.433333,0.00102714,0.00144805,0.301532,0.695993,1,354,38.9622,2,1,62.7333,12.2944,41,89,48,22.83,24.6474,300,0,1
Q3,Q3_wS0RzrBL9UI_0,Q3,Q3,Q3,0.00624029,0.0215414,0.520072,0.452146,0.1,0,0.566667,0.333333,1.05664e-07,4.6563e-05,0.92183,0.0781234,1,324,56.4818,2,1,74.6387,11.001,51,96,45,21.3548,24.7778,310,0,1
Q1,Q1_ANZf1QXsNrY_3,Q1,Q2,Q1,0.504758,0.4677,0.0167118,0.0108307,0.32,0.68,0,0,0.587797,0.403647,0.00581408,0.00274206,1,612,29.9323,2,1,62.972,14.4685,24,98,74,40.222,41.18,572,0,1
Q3,Q3_egYSmNuIFGk_1,Q4,Q4,Q3,0.071837,0.0800844,0.357434,0.490644,0,0,0.385714,0.614286,0.0581492,0.0352226,0.579942,0.326686,1,472,37.4714,2,1,51.8584,10.587,36,72,36,25.5822,26.9626,438,0,1
Q3,Q3_REq37pDAm3A_0,Q3,Q3,Q3,0.125928,0.0633292,0.480502,0.330241,0,0.05,0.8,0.15,0.0141996,0.00735823,0.693664,0.284779,1,264,29.7122,2,1,75.5,8.19288,58,94,36,28.8465,30.8643,228,0,1
Q2,Q2_D-gDPh9ZpFk_1,Q2,Q1,Q2,0.404914,0.588578,0.00358163,0.00292571,0.516667,0.483333,0,0,0.405278,0.594102,0.000433101,0.000186314,1,932,36.9714,2,1,64.093,14.9377,26,93,67,42.2174,43.2829,860,0,1
Q4,Q4_3N2G21U7guk_4,Q4,Q4,Q4,0.121201,0.0547944,0.189461,0.634544,0.02,0,0.305,0.675,0.166616,0.0801873,0.119738,0.633459,1,366,29.9922,2,1,67.2651,10.1981,37,85,48,29.2982,30.5918,332,0,1
Q3,Q3_qRceKZtwRWA_1,Q4,Q4,Q4,0.00441773,0.00839967,0.164573,0.822609,0,0,0.298333,0.701667,0.00290773,0.0117123,0.242067,0.743313,1,444,46.7721,2,1,60.0272,10.499,37,84,47,25.4946,27.6268,368,0,1
Q3,Q3_Oku8sIpTMAE_2,Q4,Q4,Q4,0.0139425,0.028617,0.343963,0.613478,0.08,0.05,0.428333,0.441667,0.000309356,0.00612455,0.490262,0.503304,1,108,29.5221,2,1,70.7755,9.4493,45,82,37,24.6939,26.4748,98,0,1
Q2,Q2_OCqMDeD6Fmc_1,Q2,Q2,Q2,0.324309,0.651007,0.0126168,0.0120665,0.383333,0.583333,0.0333333,0,0.137659,0.845749,0.0142153,0.00237642,1,782,48.0716,2,1,53.043,11.9182,24,84,60,39.1169,39.8085,744,0,1
Q1,Q1__SJQaaRzD-A_1,Q1,Q1,Q1,0.529493,0.440242,0.014526,0.0157383,0.825,0.05,0.0916667,0.0333333,0.756997,0.198509,0.0237423,0.0207517,1,616,39.9922,2,1,61.1357,12.1161,29,81,52,37.2964,37.9326,560,0,1
Q1,Q1_k4dxAlI5N-k_1,Q2,Q2,Q2,0.205346,0.558039,0.144353,0.0922626,0.02,0.88,0.0666667,0.0333333,0.00722489,0.99276,6.06541e-06,8.78712e-06,1,1674,29.9922,2,1,68.7457,16.9579,37,101,64,39.937,40.2201,1636,0,1
Q2,Q2_qlbazHayULg_7,Q2,Q2,Q2,0.209306,0.531408,0.167565,0.0917208,0.075,0.925,0,0,0.0513882,0.901907,0.0413069,0.00539831,1,882,49.9922,2,1,48.2679,7.72894,24,67,43,34.7967,35.5012,836,0,1
Q3,Q3_OO7zYVeK814_0,Q4,Q4,Q4,0.00702031,0.012723,0.161545,0.818712,0,0.1,0,0.9,0.00747196,0.0164308,0.266076,0.710021,1,340,39.9922,2,1,59.6963,11.0223,37,83,46,26.5926,28.7257,270,0,1
Q3,Q3_c6CwY8Gbw0c_3,Q4,Q4,Q3,0.0949798,0.0648079,0.291754,0.548459,0.1,0,0.42,0.48,0.160536,0.164349,0.342289,0.332826,1,514,37.7917,2,1,67.1092,13.1337,35,90,55,28.6092,30.6331,476,0,1
Q2,Q2_0H4rq0L9OSw_0,Q2,Q2,Q2,0.298354,0.627664,0.0424135,0.0315686,0.0125,0.9875,0,0,0.022675,0.975003,0.00202063,0.000301805,1,1214,37.5924,2,1,50.3661,11.9095,27,101,74,38.1152,39.1929,1120,0,1
Q3,Q3_zvWX_dwQPtU_2,Q1,Q3,Q1,0.370839,0.330919,0.180664,0.117578,0.303333,0.15,0.33,0.216667,0.531151,0.413373,0.0290848,0.0263906,1,626,29.9922,2,1,71.2119,14.2899,34,101,67,30.6308,32.4017,604,0,1
Q2,Q2_yhIncZ_Ue4E_2,Q1,Q4,Q1,0.381356,0.158081,0.111182,0.349381,0.34,0.05,0.25,0.36,0.558751,0.0848721,0.081044,0.275333,1,462,36.7617,2,1,60.109,9.39917,37,85,48,33.6659,34.2385,422,0,1
Q2,Q2_RiQMuhk_SuQ_2,Q2,Q2,Q2,0.150501,0.509292,0.185472,0.154735,0.425,0.515,0,0.06,0.0578009,0.937351,0.00379638,0.00105184,1,2154,79.5221,2,1,59.1393,13.8376,29,82,53,36.0659,36.3503,1852,0,1
Q2,Q2_1Q3MoBFh6eU_1,Q1,Q1,Q2,0.37121,0.408963,0.134489,0.0853378,0.258333,0.25,0.25,0.241667,0.478859,0.4998,0.0115959,0.00974487,1,776,29.4622,2,1,71.9278,15.4964,34,102,68,30.7014,31.7824,720,0,1
Q2,Q2_Ie5koh4qvJc_10,Q4,Q4,Q4,0.0473519,0.0349807,0.278965,0.638702,0,0,0.45,0.55,0.0369548,0.0271017,0.424474,0.511469,1,592,39.9922,2,1,57.3649,12.6755,31,87,56,23.6877,25.1704,570,0,1
Q3,Q3_fnqb8zqHqdY_2,Q4,Q4,Q4,0.0772195,0.0504139,0.158935,0.713432,0.123571,0,0.235714,0.640714,0.19001,0.0563015,0.223063,0.530625,1,410,37.8424,2,1,57.7473,10.855,38,83,45,29.8379,30.9992,364,0,1
Q2,Q2_7n32BtYb4d4_0,Q2,Q2,Q2,0.371202,0.613902,0.00744016,0.00745527,0.211667,0.788333,0,0,0.208089,0.791282,0.000579741,4.92389e-05,1,1126,47.9023,2,1,59.6648,17.7378,26,95,69,41.6285,42.2306,1074,0,1
Q3,Q3_p2qihp_PnLY_0,Q4,Q4,Q4,0.0115093,0.0182054,0.288361,0.681925,0,0,0.14,0.86,0.00651051,0.00693702,0.36807,0.618482,1,692,49.9622,2,1,59.9051,10.1408,41,79,38,23.1831,25.7165,590,0,1
Q2,Q2_7n32BtYb4d4_3,Q1,Q2,Q1,0.465885,0.526583,0.00406572,0.00346702,0.296667,0.703333,0,0,0.607684,0.385761,0.00436062,0.00219449,1,724,38.7318,2,1,60.4398,13.3734,28,88,60,42.6596,43.1491,664,0,1
Q3,Q3_veG92Oi-DlU_1,Q4,Q4,Q3,0.0941032,0.0562537,0.251334,0.598309,0.141667,0,0.338095,0.520238,0.0706839,0.0953174,0.488436,0.345562,1,454,39.9922,2,1,67.5744,10.5015,42,82,40,30.2,32.0276,390,0,1
Q2,Q2_z5ewpQwGDNw_2,Q1,Q1,Q1,0.49143,0.480099,0.0171217,0.0113493,0.585,0.415,0,0,0.613335,0.338522,0.032323,0.0158202,1,598,39.9922,2,1,61.2593,12.8687,28,91,63,42.0278,42.7507,540,0,1
Q4,Q4_JxSU49jFKwM_1,Q4,Q4,Q4,0.00482852,0.00956689,0.148547,0.837058,0.025,0,0,0.975,0.00366444,0.00886661,0.241655,0.745813,1,292,39.9922,2,1,59.5702,10.4089,40,84,44,26.9628,28.4518,242,0,1
Q3,Q3_G4rL_OtfFAU_1,Q2,Q3,Q3,0.0895226,0.53659,0.243088,0.1308,0.0666667,0.153333,0.646667,0.133333,0.00980536,0.197064,0.780343,0.0127885,1,1498,55.332,2,1,78.8307,7.31272,42,89,47,28.5846,29.8344,1418,0,1
Q1,Q1_jziI_cuN_H8_1,Q2,Q2,Q2,0.405789,0.569196,0.0142095,0.0108056,0.225,0.775,0,0,0.299792,0.699782,0.000362,6.40718e-05,1,790,29.9922,2,1,61.1421,18.7457,26,94,68,46.3415,47.2958,732,0,1
Q2,Q2_qlbazHayULg_2,Q2,Q2,Q2,0.35958,0.609149,0.0147668,0.0165045,0.311667,0.688333,0,0,0.0865777,0.913335,7.40451e-05,1.33161e-05,1,1350,39.9922,2,1,60.0654,16.8671,22,98,76,40.2432,40.9496,1254,0,1
Q4,Q4_jCLgDtk695I_3,Q4,Q4,Q4,0.0252845,0.0304777,0.215465,0.728772,0,0,0.0458333,0.954167,0.0302203,0.0155016,0.202096,0.752182,1,326,29.9622,2,1,56.7945,8.24448,32,76,44,25.5925,26.9036,292,0,1
